scraped_at,deep_tunnel_timestamp,deep_tunnel_current,deep_tunnel_max,nw_deep_tunnel_timestamp,nw_deep_tunnel_current,nw_deep_tunnel_max,south_shore_timestamp,south_shore_current,south_shore_max,jones_island_timestamp,jones_island_current,jones_island_max
2026-04-03T02:13:07.374934Z,"As of 4/2/26, 9:10 PM",211,432,Data unavailable.,,89,"As of 4/2/26, 9:10 PM",254,300,"As of 4/2/26, 9:10 PM",313,330
2026-04-03T02:16:02.909246Z,"As of 4/2/26, 9:15 PM",211,432,Data unavailable.,,89,"As of 4/2/26, 9:15 PM",253,300,"As of 4/2/26, 9:15 PM",307,330
2026-04-03T02:21:07.058703Z,"As of 4/2/26, 9:20 PM",212,432,Data unavailable.,,89,"As of 4/2/26, 9:20 PM",254,300,"As of 4/2/26, 9:20 PM",308,330
2026-04-03T03:31:31.368787Z,"As of 4/2/26, 10:30 PM",233,432,Data unavailable.,,89,"As of 4/2/26, 10:30 PM",250,300,"As of 4/2/26, 10:30 PM",307,330
2026-04-03T04:35:38.356840Z,"As of 4/2/26, 11:35 PM",245,432,Data unavailable.,,89,"As of 4/2/26, 11:35 PM",249,300,"As of 4/2/26, 11:35 PM",312,330
2026-04-03T05:21:16.230311Z,"As of 4/3/26, 12:20 AM",252,432,Data unavailable.,,89,"As of 4/3/26, 12:20 AM",249,300,"As of 4/3/26, 12:20 AM",310,330
2026-04-03T05:57:47.773348Z,"As of 4/3/26, 12:55 AM",256,432,Data unavailable.,,89,"As of 4/3/26, 12:55 AM",228,300,"As of 4/3/26, 12:55 AM",311,330
2026-04-03T06:31:44.628915Z,"As of 4/3/26, 1:30 AM",261,432,Data unavailable.,,89,"As of 4/3/26, 1:30 AM",229,300,"As of 4/3/26, 1:30 AM",310,330
2026-04-03T07:07:06.173008Z,"As of 4/3/26, 2:05 AM",264,432,Data unavailable.,,89,"As of 4/3/26, 2:05 AM",228,300,"As of 4/3/26, 2:05 AM",307,330
2026-04-03T07:40:13.694778Z,"As of 4/3/26, 2:40 AM",266,432,Data unavailable.,,89,"As of 4/3/26, 2:40 AM",227,300,"As of 4/3/26, 2:40 AM",308,330
2026-04-03T08:05:31.140889Z,"As of 4/3/26, 3:05 AM",268,432,Data unavailable.,,89,"As of 4/3/26, 3:05 AM",223,300,"As of 4/3/26, 3:05 AM",307,330
2026-04-03T08:30:44.411343Z,"As of 4/3/26, 3:30 AM",269,432,Data unavailable.,,89,"As of 4/3/26, 3:30 AM",194,300,"As of 4/3/26, 3:30 AM",309,330
